"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18, 2019","0.002710","0.002626","0.002710","0.002596","595.14M","3.27%"
"Aug 17, 2019","0.002624","0.002653","0.002660","0.002592","341.11M","-1.15%"
"Aug 16, 2019","0.002654","0.002590","0.002695","0.002525","343.37M","2.28%"
"Aug 15, 2019","0.002595","0.002721","0.002755","0.002554","363.22M","-4.66%"
"Aug 14, 2019","0.002722","0.002832","0.002832","0.002700","421.97M","-3.89%"
"Aug 13, 2019","0.002832","0.002858","0.002869","0.002795","379.50M","-0.90%"
"Aug 12, 2019","0.002858","0.002889","0.002894","0.002846","668.41M","-1.08%"
"Aug 11, 2019","0.002889","0.002855","0.002891","0.002833","454.75M","1.09%"
"Aug 10, 2019","0.002858","0.002915","0.002941","0.002810","357.99M","-2.04%"
"Aug 09, 2019","0.002917","0.002958","0.002961","0.002850","230.87M","-1.47%"
"Aug 08, 2019","0.002961","0.002986","0.002998","0.002859","425.96M","-0.69%"
"Aug 07, 2019","0.002981","0.002957","0.003025","0.002880","416.96M","0.81%"
"Aug 06, 2019","0.002957","0.003040","0.003088","0.002917","371.90M","-2.59%"
"Aug 05, 2019","0.003036","0.002922","0.003190","0.002921","523.17M","3.98%"
"Aug 04, 2019","0.002920","0.002899","0.002979","0.002851","574.91M","0.71%"
"Aug 03, 2019","0.002899","0.002899","0.002952","0.002882","625.08M","0.17%"
"Aug 02, 2019","0.002894","0.002897","0.002931","0.002854","545.37M","-0.06%"
"Aug 01, 2019","0.002896","0.002843","0.002930","0.002823","369.16M","1.87%"
"Jul 31, 2019","0.002843","0.002791","0.002876","0.002789","164.47M","1.85%"
"Jul 30, 2019","0.002792","0.002779","0.002818","0.002750","189.66M","0.47%"
"Jul 29, 2019","0.002779","0.002792","0.002866","0.002772","176.19M","-0.49%"
"Jul 28, 2019","0.002792","0.002793","0.002810","0.002739","207.33M","0.06%"
"Jul 27, 2019","0.002791","0.002886","0.002948","0.002765","245.53M","-3.33%"
"Jul 26, 2019","0.002887","0.002870","0.002900","0.002822","203.64M","0.60%"
"Jul 25, 2019","0.002870","0.002862","0.002955","0.002854","169.71M","0.28%"
"Jul 24, 2019","0.002862","0.002833","0.002881","0.002776","278.02M","1.03%"
"Jul 23, 2019","0.002833","0.002958","0.002965","0.002827","135.10M","-4.23%"
"Jul 22, 2019","0.002958","0.003050","0.003072","0.002929","170.16M","-2.88%"
"Jul 21, 2019","0.003045","0.003081","0.003133","0.002990","231.21M","-1.15%"
"Jul 20, 2019","0.003081","0.003018","0.003154","0.003002","256.16M","2.07%"
"Jul 19, 2019","0.003018","0.003103","0.003106","0.002927","152.05M","-2.64%"
"Jul 18, 2019","0.003100","0.002886","0.003121","0.002785","140.60M","7.58%"
"Jul 17, 2019","0.002882","0.002784","0.002980","0.002725","168.47M","3.80%"
"Jul 16, 2019","0.002776","0.003080","0.003098","0.002742","346.57M","-9.50%"
"Jul 15, 2019","0.003067","0.002920","0.003128","0.002827","276.60M","5.01%"
"Jul 14, 2019","0.002921","0.003270","0.003273","0.002915","203.12M","-10.68%"
"Jul 13, 2019","0.003270","0.003269","0.003273","0.003141","313.55M","0.03%"
"Jul 12, 2019","0.003269","0.003242","0.003364","0.003190","164.60M","0.86%"
