"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18, 2019","0.002749","0.002687","0.002753","0.002668","2.64B","2.28%"
"Aug 17, 2019","0.002687","0.002727","0.002741","0.002680","1.98B","-1.41%"
"Aug 16, 2019","0.002726","0.002668","0.002759","0.002605","2.31B","2.20%"
"Aug 15, 2019","0.002667","0.002789","0.002811","0.002607","2.94B","-4.37%"
"Aug 14, 2019","0.002789","0.002856","0.002876","0.002770","2.69B","-2.35%"
"Aug 13, 2019","0.002856","0.002883","0.002907","0.002834","2.24B","-0.93%"
"Aug 12, 2019","0.002883","0.002909","0.002912","0.002880","2.34B","-0.88%"
"Aug 11, 2019","0.002909","0.002807","0.002934","0.002804","2.21B","3.68%"
"Aug 10, 2019","0.002805","0.002900","0.002958","0.002773","2.37B","-3.27%"
"Aug 09, 2019","0.002900","0.002932","0.002941","0.002868","2.38B","-1.13%"
"Aug 08, 2019","0.002933","0.002961","0.002974","0.002872","2.13B","-0.92%"
"Aug 07, 2019","0.002961","0.002954","0.003002","0.002902","2.22B","0.29%"
"Aug 06, 2019","0.002952","0.003048","0.003087","0.002922","2.27B","-3.13%"
"Aug 05, 2019","0.003047","0.002938","0.003165","0.002935","2.94B","3.72%"
"Aug 04, 2019","0.002938","0.002922","0.002992","0.002868","1.82B","0.56%"
"Aug 03, 2019","0.002922","0.002914","0.002953","0.002904","1.95B","0.24%"
"Aug 02, 2019","0.002914","0.002931","0.002945","0.002897","2.15B","-0.48%"
"Aug 01, 2019","0.002929","0.002897","0.002936","0.002854","1.85B","1.08%"
"Jul 31, 2019","0.002897","0.002770","0.002928","0.002734","2.25B","4.60%"
"Jul 30, 2019","0.002770","0.002838","0.002928","0.002763","1.76B","-2.40%"
"Jul 29, 2019","0.002838","0.002867","0.002902","0.002808","2.09B","-1.07%"
"Jul 28, 2019","0.002869","0.002863","0.002897","0.002838","2.14B","0.21%"
"Jul 27, 2019","0.002863","0.002952","0.003006","0.002826","2.43B","-2.95%"
"Jul 26, 2019","0.002950","0.002949","0.002983","0.002912","1.89B","0.02%"
"Jul 25, 2019","0.002949","0.002902","0.003042","0.002893","2.25B","1.62%"
"Jul 24, 2019","0.002902","0.002884","0.002921","0.002808","3.29B","0.69%"
"Jul 23, 2019","0.002882","0.003013","0.003019","0.002879","2.20B","-4.33%"
"Jul 22, 2019","0.003013","0.003078","0.003114","0.002937","2.42B","-2.13%"
"Jul 21, 2019","0.003078","0.003108","0.003159","0.002890","1.92B","-0.94%"
"Jul 20, 2019","0.003108","0.003046","0.003205","0.002954","2.04B","2.25%"
"Jul 19, 2019","0.003039","0.003114","0.003249","0.002959","1.87B","-2.42%"
"Jul 18, 2019","0.003114","0.002898","0.003133","0.002822","2.88B","7.47%"
