"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2018","1,229.10","1,245.90","1,331.80","1,109.80","364.76K","-1.51"
"Jan 10, 2018","1,248.00","1,285.70","1,381.90","1,203.20","380.43K","-2.78"
"Jan 09, 2018","1,283.70","1,129.40","1,299.00","1,119.10","296.90K","13.67"
"Jan 08, 2018","1,129.30","1,115.90","1,225.00","968.12","439.43K","1.21"
"Jan 07, 2018","1,115.80","1,004.30","1,116.00","999.50","199.83K","11.10"
"Jan 06, 2018","1,004.30","962.77","1,014.20","951.38","127.79K","4.31"
"Jan 05, 2018","962.77","939.30","1,023.60","930.00","298.24K","2.42"
"Jan 04, 2018","940.00","942.01","997.00","893.24","348.62K","-0.21"
"Jan 03, 2018","942.01","858.78","954.73","840.00","310.54K","9.69"
"Jan 02, 2018","858.78","752.46","890.00","752.46","420.96K","14.13"
"Jan 01, 2018","752.46","736.77","762.00","717.94","121.56K","2.13"
"Dec 31, 2017","736.77","682.22","741.99","675.56","153.38K","8.00"
"Dec 30, 2017","682.22","731.52","737.56","640.43","267.70K","-6.74"
"Dec 29, 2017","731.52","711.42","755.00","703.02","204.82K","2.83"
"Dec 28, 2017","711.42","736.45","740.30","652.00","255.38K","-3.40"
"Dec 27, 2017","736.45","749.80","766.06","703.27","167.81K","-1.78"
"Dec 26, 2017","749.80","709.81","749.80","708.83","149.07K","5.63"
"Dec 25, 2017","709.81","659.89","737.00","651.76","218.49K","7.56"
"Dec 24, 2017","659.89","672.59","675.00","560.00","312.62K","-1.89"
"Dec 23, 2017","672.59","628.19","717.00","616.19","240.69K","7.07"
"Dec 22, 2017","628.19","786.97","792.00","492.01","780.15K","-20.18"
"Dec 21, 2017","786.97","794.99","848.08","747.10","341.95K","-1.01"
"Dec 20, 2017","794.99","799.98","826.20","709.00","423.20K","-0.62"
"Dec 19, 2017","799.98","783.99","863.00","750.01","518.29K","2.04"
"Dec 18, 2017","783.99","708.78","798.90","660.00","420.29K","10.61"
"Dec 17, 2017","708.78","683.25","725.00","683.24","210.62K","3.74"
"Dec 16, 2017","683.25","678.29","711.96","672.51","200.94K","0.73"
