"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 10, 2018","248.500","246.900","249.670","232.520","456.61K","0.69"
"Jan 09, 2018","246.790","255.210","258.750","238.750","404.78K","-3.35"
"Jan 08, 2018","255.350","272.080","273.670","231.640","590.53K","-6.14"
"Jan 07, 2018","272.060","279.420","286.950","265.240","355.27K","-2.63"
"Jan 06, 2018","279.420","246.230","304.000","245.000","797.57K","13.48"
"Jan 05, 2018","246.230","238.910","251.970","236.240","472.80K","3.06"
"Jan 04, 2018","238.910","244.990","245.000","226.790","500.54K","-2.48"
"Jan 03, 2018","244.990","253.310","258.540","240.720","433.47K","-3.28"
"Jan 02, 2018","253.310","225.220","262.000","225.210","661.46K","12.47"
"Jan 01, 2018","225.220","227.170","232.290","217.660","246.25K","-0.86"
"Dec 31, 2017","227.170","216.030","237.880","210.000","424.98K","5.16"
"Dec 30, 2017","216.030","245.790","246.000","206.000","593.42K","-12.11"
"Dec 29, 2017","245.790","251.180","259.500","236.500","444.27K","-2.15"
"Dec 28, 2017","251.180","264.400","266.000","223.590","703.31K","-5.00"
"Dec 27, 2017","264.400","280.100","286.460","252.810","448.07K","-5.61"
"Dec 26, 2017","280.100","273.520","286.990","273.170","354.26K","2.41"
"Dec 25, 2017","273.520","278.810","287.400","271.120","291.44K","-1.90"
"Dec 24, 2017","278.810","293.030","295.990","254.000","665.18K","-4.85"
"Dec 23, 2017","293.030","267.790","321.850","261.000","906.94K","9.43"
"Dec 22, 2017","267.790","311.000","311.890","144.000","3.04M","-13.89"
"Dec 21, 2017","311.000","305.590","327.990","291.010","671.62K","1.77"
"Dec 20, 2017","305.590","350.790","350.790","275.000","1.41M","-12.89"
"Dec 19, 2017","350.790","359.400","380.000","324.670","1.35M","-2.40"
"Dec 18, 2017","359.400","324.740","366.900","305.770","1.09M","10.67"
"Dec 17, 2017","324.740","306.860","334.850","303.240","856.74K","5.83"
"Dec 16, 2017","306.860","303.790","314.970","280.000","754.23K","1.01"
"Dec 15, 2017","303.790","283.800","322.970","252.220","1.63M","7.04"
"Dec 14, 2017","283.800","312.890","324.620","256.100","1.35M","-9.30"
"Dec 13, 2017","312.890","352.080","372.550","275.000","2.17M","-11.13"
"Dec 12, 2017","352.080","218.600","420.000","213.300","3.56M","61.06"
"Dec 11, 2017","218.600","150.990","235.000","149.960","2.28M","44.78"
"Dec 10, 2017","150.990","160.950","160.950","135.450","1.24M","-6.19"
"Dec 09, 2017","160.950","128.970","199.000","128.960","3.30M","24.80"
"Dec 08, 2017","128.970","97.960","144.750","95.800","2.35M","31.66"
"Dec 07, 2017","97.960","100.010","102.480","95.010","931.06K","-2.05"
"Dec 06, 2017","100.010","101.010","103.900","97.750","754.51K","-0.99"
"Dec 05, 2017","101.010","104.280","104.290","101.010","466.66K","-3.14"
"Dec 04, 2017","104.280","101.200","104.500","95.470","580.55K","3.04"
"Dec 03, 2017","101.200","99.650","107.490","97.000","759.75K","1.56"
"Dec 02, 2017","99.650","100.160","104.750","98.100","793.87K","-0.51"
"Dec 01, 2017","100.160","85.820","100.770","82.000","1.32M","16.71"
"Nov 30, 2017","85.820","86.700","93.500","78.000","1.01M","-1.01"
"Nov 29, 2017","86.700","94.490","103.540","76.010","1.56M","-8.24"
"Nov 28, 2017","94.490","91.380","94.880","89.960","559.32K","3.40"
"Nov 27, 2017","91.380","86.620","93.890","86.400","842.79K","5.50"
"Nov 26, 2017","86.620","89.130","89.210","84.180","668.21K","-2.82"
"Nov 25, 2017","89.130","77.540","89.880","77.240","1.01M","14.95"
"Nov 24, 2017","77.540","73.300","77.700","72.510","521.99K","5.78"
"Nov 23, 2017","73.300","72.310","77.960","71.070","696.78K","1.37"
"Nov 22, 2017","72.310","70.000","72.320","70.000","320.00K","3.30"
"Nov 21, 2017","70.000","72.620","73.000","68.000","663.60K","-3.61"
"Nov 20, 2017","72.620","71.700","73.250","71.130","403.14K","1.28"
"Nov 19, 2017","71.700","69.350","73.400","68.550","519.94K","3.39"
"Nov 18, 2017","69.350","67.500","69.950","65.620","338.05K","2.74"
"Nov 17, 2017","67.500","70.560","71.460","65.520","770.63K","-4.34"
"Nov 16, 2017","70.560","63.300","72.500","62.520","845.41K","11.47"
"Nov 15, 2017","63.300","62.330","65.430","62.200","375.89K","1.56"
"Nov 14, 2017","62.330","61.240","63.570","60.560","336.63K","1.78"
"Nov 13, 2017","61.240","58.810","62.420","58.230","358.10K","4.13"
"Nov 12, 2017","58.810","62.490","62.600","57.080","569.16K","-5.89"
"Nov 11, 2017","62.490","59.320","63.990","59.020","455.02K","5.34"
"Nov 10, 2017","59.320","64.400","65.940","56.130","809.04K","-7.89"
"Nov 09, 2017","64.400","62.460","67.240","61.890","612.29K","3.11"
"Nov 08, 2017","62.460","60.610","64.300","59.600","788.53K","3.05"
"Nov 07, 2017","60.610","54.600","63.710","54.600","734.43K","11.01"
"Nov 06, 2017","54.600","54.670","55.850","53.370","221.45K","-0.13"
"Nov 05, 2017","54.670","55.090","55.530","54.380","151.83K","-0.76"
"Nov 04, 2017","55.090","56.190","56.300","54.650","159.54K","-1.96"
"Nov 03, 2017","56.190","54.350","56.350","53.960","316.10K","3.39"
"Nov 02, 2017","54.350","53.000","54.850","50.250","558.25K","2.55"
"Nov 01, 2017","53.000","55.410","55.600","52.820","235.91K","-4.35"
"Oct 31, 2017","55.410","56.400","56.810","55.400","169.19K","-1.76"
"Oct 30, 2017","56.400","56.590","58.390","55.850","186.74K","-0.34"
"Oct 29, 2017","56.590","54.520","58.000","54.260","189.86K","3.80"
"Oct 28, 2017","54.520","55.240","55.880","54.010","90.59K","-1.30"
"Oct 27, 2017","55.240","55.560","56.150","54.750","125.60K","-0.58"
"Oct 26, 2017","55.560","56.360","57.160","54.890","150.37K","-1.42"
"Oct 25, 2017","56.360","55.610","56.920","53.550","257.21K","1.35"
"Oct 24, 2017","55.610","54.760","59.190","52.500","495.67K","1.55"
"Oct 23, 2017","54.760","56.750","56.750","52.450","430.42K","-3.51"
"Oct 22, 2017","56.750","58.140","58.890","56.120","190.55K","-2.39"
"Oct 21, 2017","58.140","60.120","60.380","56.200","295.36K","-3.29"
"Oct 20, 2017","60.120","59.840","62.200","58.520","334.67K","0.47"
"Oct 19, 2017","59.840","60.670","61.420","58.340","368.59K","-1.37"
"Oct 18, 2017","60.670","59.190","61.850","52.900","807.13K","2.50"
"Oct 17, 2017","59.190","64.720","64.990","58.510","402.66K","-8.54"
"Oct 16, 2017","64.720","65.510","66.400","62.330","348.95K","-1.21"
"Oct 15, 2017","65.510","63.940","69.590","62.060","754.18K","2.46"
"Oct 14, 2017","63.940","58.900","66.850","58.300","699.49K","8.56"
"Oct 13, 2017","58.900","59.580","60.960","55.250","838.33K","-1.14"
"Oct 12, 2017","59.580","50.810","59.580","50.660","877.10K","17.26"
"Oct 11, 2017","50.810","50.400","51.000","50.220","98.34K","0.81"
"Oct 10, 2017","50.400","50.040","51.480","49.590","193.69K","0.72"
"Oct 09, 2017","50.040","53.270","53.410","48.150","441.20K","-6.06"
"Oct 08, 2017","53.270","52.570","54.790","52.400","202.57K","1.33"
"Oct 07, 2017","52.570","52.120","52.850","51.600","108.03K","0.86"
"Oct 06, 2017","52.120","51.670","52.730","51.400","146.89K","0.87"
"Oct 05, 2017","51.670","51.160","51.940","50.250","162.26K","1.00"
"Oct 04, 2017","51.160","52.150","53.000","50.530","205.24K","-1.90"
"Oct 03, 2017","52.150","53.370","53.590","51.350","232.83K","-2.29"
"Oct 02, 2017","53.370","54.690","55.080","52.620","225.68K","-2.41"
"Oct 01, 2017","54.690","55.260","55.330","53.500","193.40K","-1.03"
"Sep 30, 2017","55.260","52.620","55.920","52.540","251.46K","5.02"
"Sep 29, 2017","52.620","54.870","54.870","50.350","531.89K","-4.10"
"Sep 28, 2017","54.870","56.880","57.110","54.070","450.03K","-3.53"
"Sep 27, 2017","56.880","52.340","57.440","52.320","584.71K","8.67"
"Sep 26, 2017","52.340","52.220","54.410","51.500","352.21K","0.23"
"Sep 25, 2017","52.220","47.700","53.250","47.530","492.37K","9.48"
"Sep 24, 2017","47.700","49.410","49.580","47.100","231.67K","-3.46"
"Sep 23, 2017","49.410","47.810","50.240","46.450","324.24K","3.35"
"Sep 22, 2017","47.810","46.610","49.720","45.000","680.97K","2.57"
"Sep 21, 2017","46.610","51.570","52.500","45.180","806.76K","-9.62"
"Sep 20, 2017","51.570","52.950","54.600","51.110","337.58K","-2.61"
"Sep 19, 2017","52.950","56.300","56.860","51.380","605.01K","-5.95"
"Sep 18, 2017","56.300","51.370","58.000","51.360","871.12K","9.60"
"Sep 17, 2017","51.370","52.470","54.100","47.870","562.90K","-2.10"
"Sep 16, 2017","52.470","52.290","59.000","50.640","846.88K","0.34"
"Sep 15, 2017","52.290","45.420","62.410","33.560","3.02M","15.13"
"Sep 14, 2017","45.420","61.800","62.600","45.100","1.59M","-26.50"
"Sep 13, 2017","61.800","66.000","66.460","57.740","1.09M","-6.36"
"Sep 12, 2017","66.000","68.280","71.930","65.020","578.21K","-3.34"
"Sep 11, 2017","68.280","67.440","71.550","65.500","414.83K","1.25"
"Sep 10, 2017","67.440","71.270","71.440","65.020","561.40K","-5.37"
"Sep 09, 2017","71.270","73.700","74.500","69.100","425.96K","-3.30"
"Sep 08, 2017","73.700","80.230","82.110","68.120","1.04M","-8.14"
"Sep 07, 2017","80.230","81.470","82.750","77.370","558.71K","-1.52"
"Sep 06, 2017","81.470","74.190","82.670","74.190","903.49K","9.81"
"Sep 05, 2017","74.190","71.250","74.950","66.000","767.79K","4.13"
"Sep 04, 2017","71.250","79.440","79.510","64.000","1.24M","-10.31"
"Sep 03, 2017","79.440","79.840","84.620","77.260","596.17K","-0.50"
"Sep 02, 2017","79.840","89.230","93.850","73.870","1.33M","-10.52"
"Sep 01, 2017","89.230","73.230","98.280","71.510","1.92M","21.85"
"Aug 31, 2017","73.230","66.120","74.800","65.220","1.00M","10.75"
"Aug 30, 2017","66.120","63.750","67.500","62.000","394.45K","3.72"
"Aug 29, 2017","63.750","62.380","64.450","61.250","446.05K","2.20"
"Aug 28, 2017","62.380","61.560","64.730","58.770","557.31K","1.33"
"Aug 27, 2017","61.560","51.550","64.670","51.200","818.82K","19.42"
"Aug 26, 2017","51.550","51.110","52.000","50.000","164.48K","0.86"
"Aug 25, 2017","51.110","51.090","52.200","50.100","260.66K","0.04"
"Aug 24, 2017","51.090","53.310","53.460","50.230","399.54K","-4.16"
"Aug 23, 2017","53.310","46.430","55.000","46.080","587.97K","14.82"
"Aug 22, 2017","46.430","47.990","47.990","44.650","230.93K","-3.25"
"Aug 21, 2017","47.990","45.570","48.870","44.900","245.86K","5.31"
"Aug 20, 2017","45.570","45.180","47.150","44.070","155.49K","0.86"
"Aug 19, 2017","45.180","46.690","47.000","43.760","158.52K","-3.23"
"Aug 18, 2017","46.690","43.880","47.990","43.290","362.94K","6.40"
"Aug 17, 2017","43.880","43.800","44.700","43.130","163.34K","0.18"
"Aug 16, 2017","43.800","43.100","44.940","42.010","194.82K","1.62"
"Aug 15, 2017","43.100","45.590","45.700","41.650","307.88K","-5.46"
"Aug 14, 2017","45.590","45.220","46.340","44.820","198.81K","0.82"
"Aug 13, 2017","45.220","46.330","47.380","44.050","275.66K","-2.40"
"Aug 12, 2017","46.330","47.080","47.800","46.010","242.31K","-1.59"
"Aug 11, 2017","47.080","47.200","47.710","46.600","188.30K","-0.25"
"Aug 10, 2017","47.200","47.690","48.600","47.010","173.65K","-1.03"
"Aug 09, 2017","47.690","49.060","49.950","46.660","301.29K","-2.79"
"Aug 08, 2017","49.060","45.990","49.980","45.760","375.80K","6.68"
"Aug 07, 2017","45.990","45.330","46.500","45.010","162.21K","1.46"
"Aug 06, 2017","45.330","45.850","46.650","44.780","180.66K","-1.13"
"Aug 05, 2017","45.850","43.070","47.090","43.060","345.32K","6.45"
"Aug 04, 2017","43.070","42.490","43.490","42.340","114.69K","1.37"
"Aug 03, 2017","42.490","41.820","42.870","41.730","98.91K","1.60"
"Aug 02, 2017","41.820","43.180","43.230","41.520","160.29K","-3.15"
"Aug 01, 2017","43.180","42.270","43.840","41.180","290.91K","2.15"
"Jul 31, 2017","42.270","40.820","43.800","38.400","304.88K","3.55"
"Jul 30, 2017","40.820","41.010","42.160","39.560","138.97K","-0.46"
"Jul 29, 2017","41.010","40.350","41.500","38.280","246.30K","1.64"
"Jul 28, 2017","40.350","41.870","42.170","40.100","208.08K","-3.63"
"Jul 27, 2017","41.870","41.990","42.300","40.800","167.22K","-0.29"
"Jul 26, 2017","41.990","42.210","43.000","40.400","204.73K","-0.52"
"Jul 25, 2017","42.210","45.010","45.150","40.230","320.44K","-6.22"
"Jul 24, 2017","45.010","45.230","45.490","44.410","123.33K","-0.49"
"Jul 23, 2017","45.230","46.700","46.950","44.100","175.17K","-3.15"
"Jul 22, 2017","46.700","45.400","47.520","44.430","181.02K","2.86"
"Jul 21, 2017","45.400","44.720","47.930","44.000","475.00K","1.52"
"Jul 20, 2017","44.720","40.190","45.000","40.120","424.55K","11.27"
"Jul 19, 2017","40.190","43.500","43.960","39.680","317.87K","-7.61"
"Jul 18, 2017","43.500","42.360","45.000","40.560","426.28K","2.69"
"Jul 17, 2017","42.360","40.690","43.080","39.720","503.50K","4.10"
"Jul 16, 2017","40.690","38.140","41.990","34.780","634.51K","6.69"
"Jul 15, 2017","38.140","42.780","42.990","37.500","522.23K","-10.85"
"Jul 14, 2017","42.780","45.480","45.720","40.000","437.76K","-5.94"
"Jul 13, 2017","45.480","47.000","47.880","44.100","256.55K","-3.23"
"Jul 12, 2017","47.000","43.920","48.480","42.100","507.31K","7.01"
"Jul 11, 2017","43.920","44.740","46.780","41.380","488.83K","-1.83"
"Jul 10, 2017","44.740","48.760","49.840","42.100","534.09K","-8.24"
"Jul 09, 2017","48.760","51.270","52.550","48.330","300.35K","-4.90"
"Jul 08, 2017","51.270","46.210","52.610","44.180","514.36K","10.95"
"Jul 07, 2017","46.210","51.200","51.360","44.280","656.67K","-9.75"
"Jul 06, 2017","51.200","53.400","53.400","50.010","367.32K","-4.12"
"Jul 05, 2017","53.400","54.890","57.750","49.010","861.57K","-2.71"
"Jul 04, 2017","54.890","45.510","55.400","45.510","1.10M","20.61"
"Jul 03, 2017","45.510","41.590","47.700","40.600","641.50K","9.43"
"Jul 02, 2017","41.590","38.370","41.990","37.150","244.43K","8.39"
"Jul 01, 2017","38.370","39.490","39.830","37.400","169.45K","-2.84"
"Jun 30, 2017","39.490","40.200","41.200","39.220","190.54K","-1.77"
"Jun 29, 2017","40.200","42.000","42.140","39.600","237.14K","-4.29"
"Jun 28, 2017","42.000","40.500","43.440","37.300","489.57K","3.70"
"Jun 27, 2017","40.500","38.150","40.500","33.610","591.65K","6.16"
"Jun 26, 2017","38.150","40.800","41.980","33.380","635.71K","-6.50"
"Jun 25, 2017","40.800","43.050","43.760","38.270","417.00K","-5.23"
"Jun 24, 2017","43.050","46.030","46.130","42.050","319.78K","-6.47"
"Jun 23, 2017","46.030","45.980","46.960","45.520","232.59K","0.11"
"Jun 22, 2017","45.980","44.000","47.890","42.870","398.17K","4.50"
"Jun 21, 2017","44.000","45.630","46.160","41.500","378.03K","-3.57"
"Jun 20, 2017","45.630","47.630","48.450","42.500","638.44K","-4.20"
"Jun 19, 2017","47.630","43.660","49.990","42.270","1.14M","9.09"
"Jun 18, 2017","43.660","46.010","46.650","39.560","960.61K","-5.11"
"Jun 17, 2017","46.010","33.890","49.000","33.610","2.07M","35.76"
"Jun 16, 2017","33.890","28.970","33.900","27.650","583.16K","16.98"
"Jun 15, 2017","28.970","28.810","29.400","24.420","548.79K","0.56"
"Jun 14, 2017","28.810","30.320","32.000","27.500","543.03K","-4.98"
"Jun 13, 2017","30.320","29.060","30.650","28.710","334.62K","4.34"
"Jun 12, 2017","29.060","34.040","34.170","27.000","681.79K","-14.63"
"Jun 11, 2017","34.040","30.130","35.500","29.530","615.05K","12.98"
"Jun 10, 2017","30.130","29.560","30.250","29.000","368.07K","1.93"
"Jun 09, 2017","29.560","30.080","30.900","29.500","314.67K","-1.73"
"Jun 08, 2017","30.080","28.600","30.850","27.990","297.38K","5.17"
"Jun 07, 2017","28.600","30.100","30.800","27.650","324.61K","-4.98"
"Jun 06, 2017","30.100","30.700","31.330","28.080","540.39K","-1.95"
"Jun 05, 2017","30.700","27.790","31.800","27.780","527.46K","10.47"
"Jun 04, 2017","27.790","27.400","27.900","26.790","238.06K","1.42"
"Jun 03, 2017","27.400","27.900","28.300","26.790","235.55K","-1.79"
"Jun 02, 2017","27.900","27.740","28.950","26.560","280.61K","0.58"
"Jun 01, 2017","27.740","25.880","29.940","25.870","611.85K","7.19"
"May 31, 2017","25.880","24.110","26.220","23.750","342.04K","7.34"
"May 30, 2017","24.110","25.770","26.500","23.500","357.32K","-6.44"
"May 29, 2017","25.770","24.730","26.720","23.680","269.72K","4.21"
"May 28, 2017","24.730","23.500","26.950","23.060","341.91K","5.23"
"May 27, 2017","23.500","25.930","26.960","19.080","572.99K","-9.37"
"May 26, 2017","25.930","29.640","32.000","24.310","558.72K","-12.52"
"May 25, 2017","29.640","34.310","35.500","25.260","580.05K","-13.61"
"May 24, 2017","34.310","31.060","35.880","30.250","656.76K","10.46"
"May 23, 2017","31.060","24.710","31.780","24.450","596.12K","25.70"
"May 22, 2017","24.710","25.920","26.990","22.500","537.83K","-4.67"
"May 21, 2017","25.920","27.340","28.680","25.440","341.76K","-5.19"
"May 20, 2017","27.340","27.550","27.940","26.850","220.35K","-0.76"
"May 19, 2017","27.550","28.580","28.650","26.320","456.91K","-3.60"
"May 18, 2017","28.580","25.300","29.410","24.630","540.92K","12.96"
"May 17, 2017","25.300","23.600","26.500","20.310","790.14K","7.20"
"May 16, 2017","23.600","25.610","25.780","21.000","631.01K","-7.85"
"May 15, 2017","25.610","28.900","29.110","25.270","347.19K","-11.38"
"May 14, 2017","28.900","29.090","30.600","27.750","251.84K","-0.65"
"May 13, 2017","29.090","27.210","29.210","25.040","328.59K","6.91"
"May 12, 2017","27.210","30.690","31.590","25.060","485.31K","-11.34"
"May 11, 2017","30.690","32.850","33.350","28.310","542.38K","-6.58"
"May 10, 2017","32.850","33.200","38.910","30.010","835.73K","-1.05"
"May 09, 2017","33.200","28.860","34.000","22.670","703.35K","15.04"
"May 08, 2017","28.860","30.620","30.620","28.040","426.59K","-5.75"
"May 07, 2017","30.620","28.430","32.300","28.430","748.37K","7.70"
"May 06, 2017","28.430","26.330","28.880","26.310","433.85K","7.98"
"May 05, 2017","26.330","24.160","28.690","24.030","766.74K","8.98"
"May 04, 2017","24.160","22.010","29.750","21.800","1.45M","9.77"
"May 03, 2017","22.010","16.240","36.000","15.990","1.20M","35.53"
"May 02, 2017","16.240","16.470","16.620","15.500","113.87K","-1.40"
"May 01, 2017","16.470","16.200","17.300","15.550","257.12K","1.67"
"Apr 30, 2017","16.200","16.340","16.740","15.800","261.85K","-0.86"
"Apr 29, 2017","16.340","14.750","16.400","14.730","266.31K","10.78"
"Apr 28, 2017","14.750","14.980","15.120","14.500","232.03K","-1.54"
"Apr 27, 2017","14.980","15.090","15.510","13.470","402.61K","-0.73"
"Apr 26, 2017","15.090","15.530","16.170","14.690","332.45K","-2.83"
"Apr 25, 2017","15.530","15.070","15.730","14.510","225.98K","3.05"
"Apr 24, 2017","15.070","15.380","15.410","14.300","235.77K","-2.02"
"Apr 23, 2017","15.380","14.350","16.000","14.200","434.46K","7.18"
"Apr 22, 2017","14.350","12.120","16.000","12.030","481.88K","18.40"
"Apr 21, 2017","12.120","10.990","12.450","10.850","342.38K","10.28"
"Apr 20, 2017","10.990","10.210","11.400","10.150","218.36K","7.64"
"Apr 19, 2017","10.210","10.950","11.000","10.010","139.82K","-6.76"
"Apr 18, 2017","10.950","11.150","11.500","10.270","283.08K","-1.79"
"Apr 17, 2017","11.150","11.700","12.600","10.950","249.62K","-4.70"
"Apr 16, 2017","11.700","11.690","11.870","11.570","48.57K","0.09"
"Apr 15, 2017","11.690","11.610","12.140","10.460","132.61K","0.69"
"Apr 14, 2017","11.610","11.050","11.840","11.030","149.90K","5.07"
"Apr 13, 2017","11.050","11.690","11.740","10.630","191.76K","-5.47"
"Apr 12, 2017","11.690","9.710","12.230","9.660","360.25K","20.39"
"Apr 11, 2017","9.710","9.870","10.350","9.450","139.04K","-1.62"
"Apr 10, 2017","9.870","9.260","10.120","8.890","185.95K","6.59"
"Apr 09, 2017","9.260","10.790","10.990","8.570","198.42K","-14.18"
"Apr 08, 2017","10.790","9.890","11.390","9.830","147.64K","9.10"
"Apr 07, 2017","9.890","10.870","11.390","9.390","280.70K","-9.02"
"Apr 06, 2017","10.870","13.000","13.190","9.700","687.75K","-16.38"
"Apr 05, 2017","13.000","9.150","13.750","8.880","601.43K","42.08"
"Apr 04, 2017","9.150","8.610","9.780","8.350","213.24K","6.27"
"Apr 03, 2017","8.610","8.340","9.500","7.500","203.68K","3.24"
"Apr 02, 2017","8.340","7.610","8.880","7.030","228.47K","9.59"
"Apr 01, 2017","7.610","7.250","7.730","6.650","143.26K","4.97"
"Mar 31, 2017","7.250","7.890","7.900","5.750","274.38K","-8.11"
"Mar 30, 2017","7.890","4.300","9.900","4.260","382.15K","83.49"
"Mar 29, 2017","4.300","4.200","4.500","4.120","31.16K","2.38"
"Mar 28, 2017","4.200","4.080","4.220","4.070","13.80K","2.94"
"Mar 27, 2017","4.080","4.100","4.190","4.030","31.27K","-0.49"
"Mar 26, 2017","4.100","4.090","4.120","4.040","17.02K","0.24"
"Mar 25, 2017","4.090","4.110","4.180","3.970","28.31K","-0.49"
"Mar 24, 2017","4.110","3.960","4.500","3.930","54.81K","3.79"
"Mar 23, 2017","3.960","3.940","4.030","3.900","13.08K","0.51"
"Mar 22, 2017","3.940","4.040","4.050","3.810","19.30K","-2.48"
"Mar 21, 2017","4.040","4.180","4.200","3.950","14.63K","-3.35"
"Mar 20, 2017","4.180","3.930","4.200","3.850","14.20K","6.36"
"Mar 19, 2017","3.930","4.020","4.120","3.850","11.72K","-2.24"
"Mar 18, 2017","4.020","4.120","4.430","3.690","35.57K","-2.43"
"Mar 17, 2017","4.120","4.310","4.350","4.000","16.21K","-4.41"
"Mar 16, 2017","4.310","4.330","4.610","4.220","26.30K","-0.46"
"Mar 15, 2017","4.330","4.190","4.450","4.100","12.63K","3.34"
"Mar 14, 2017","4.190","4.400","4.430","4.140","11.03K","-4.77"
"Mar 13, 2017","4.400","3.940","4.590","3.890","42.52K","11.68"
"Mar 12, 2017","3.940","3.820","3.950","3.820","8.77K","3.14"
"Mar 11, 2017","3.820","3.800","3.950","3.770","11.05K","0.53"
"Mar 10, 2017","3.800","3.920","4.100","3.700","18.54K","-3.06"
"Mar 09, 2017","3.920","3.860","3.950","3.830","4.53K","1.55"
"Mar 08, 2017","3.860","3.990","4.010","3.830","6.43K","-3.26"
"Mar 07, 2017","3.990","4.100","4.260","3.900","7.52K","-2.68"
"Mar 06, 2017","4.100","4.020","4.100","3.960","6.31K","1.99"
"Mar 05, 2017","4.020","4.040","4.040","3.850","2.68K","-0.50"
"Mar 04, 2017","4.040","4.070","4.140","3.880","7.15K","-0.74"
"Mar 03, 2017","4.070","4.040","4.500","4.010","11.35K","0.74"
"Mar 02, 2017","4.040","3.860","4.290","3.800","17.91K","4.66"
"Mar 01, 2017","3.860","3.850","3.950","3.800","7.02K","0.26"
"Feb 28, 2017","3.850","3.870","3.940","3.810","7.18K","-0.52"
"Feb 27, 2017","3.870","3.890","3.930","3.850","8.12K","-0.51"
"Feb 26, 2017","3.890","3.900","3.930","3.840","1.61K","-0.26"
"Feb 25, 2017","3.900","3.950","3.980","3.830","6.20K","-1.27"
"Feb 24, 2017","3.950","3.900","4.000","3.790","4.44K","1.28"
"Feb 23, 2017","3.900","3.890","4.000","3.890","4.16K","0.26"
"Feb 22, 2017","3.890","3.850","3.930","3.850","3.83K","1.04"
"Feb 21, 2017","3.850","3.810","3.890","3.760","4.25K","1.05"
"Feb 20, 2017","3.810","3.810","3.850","3.760","5.83K","0.00"
"Feb 19, 2017","3.810","3.840","3.850","3.760","5.78K","-0.78"
"Feb 18, 2017","3.840","3.910","3.940","3.800","6.21K","-1.79"
"Feb 17, 2017","3.910","3.860","3.950","3.850","2.42K","1.30"
"Feb 16, 2017","3.860","3.890","3.920","3.850","2.02K","-0.77"
"Feb 15, 2017","3.890","3.820","3.910","3.810","5.19K","1.83"
"Feb 14, 2017","3.820","3.780","3.820","3.760","3.76K","1.06"
